iter	Passed	Remaining
595	2713	1839
596	2716	1833
597	2719	1828
598	2722	1822
599	2726	1817
600	2729	1812
601	2732	1806
602	2735	1801
603	2738	1795
604	2742	1790
605	2745	1785
606	2748	1779
607	2751	1774
608	2754	1768
609	2759	1764
610	2762	1758
611	2764	1752
612	2767	1747
613	2770	1741
614	2774	1737
615	2778	1731
616	2782	1727
617	2785	1721
618	2789	1716
619	2792	1711
620	2795	1705
621	2798	1700
622	2800	1694
623	2823	1701
624	2830	1698
625	2834	1693
626	2839	1689
627	2842	1683
628	2846	1678
629	2849	1673
630	2854	1669
631	2857	1663
632	2859	1658
633	2862	1652
634	2865	1647
635	2869	1642
636	2873	1637
637	2877	1632
638	2880	1627
639	2883	1621
640	2887	1617
641	2890	1611
642	2893	1606
643	2896	1601
644	2900	1596
645	2903	1591
646	2906	1585
647	2909	1580
648	2912	1575
649	2916	1570
650	2919	1565
651	2922	1559
652	2925	1554
653	2928	1549
654	2935	1546
655	2939	1541
656	2954	1542
657	2958	1537
658	2961	1532
659	2965	1527
660	2968	1522
661	2972	1517
662	3002	1526
663	3005	1520
664	3008	1515
665	3011	1510
666	3015	1505
667	3018	1500
668	3022	1495
669	3024	1489
670	3028	1485
671	3032	1480
672	3035	1474
673	3038	1469
674	3041	1464
675	3046	1460
676	3049	1454
677	3051	1449
678	3054	1444
679	3057	1438
680	3062	1434
681	3065	1429
682	3068	1424
683	3071	1419
684	3074	1413
685	3078	1409
686	3081	1403
687	3129	1419
688	3134	1415
689	3139	1410
690	3146	1406
691	3150	1402
692	3155	1397
693	3192	1407
694	3197	1403
695	3201	1398
696	3209	1395
697	3261	1411
698	3266	1406
699	3271	1401
700	3277	1397
701	3280	1392
702	3283	1387
703	3286	1381
704	3290	1377
705	3294	1371
706	3298	1366
707	3301	1361
708	3306	1357
709	3309	1351
710	3312	1346
711	3316	1341
712	3320	1336
713	3323	1331
714	3326	1326
715	3329	1320
716	3333	1315
717	3337	1310
718	3340	1305
719	3344	1300
720	3347	1295
721	3350	1290
722	3354	1285
723	3358	1280
724	3361	1274
725	3364	1269
726	3368	1265
727	3372	1260
728	3375	1254
729	3378	1249
730	3382	1244
731	3388	1240
732	3392	1235
733	3395	1230
734	3399	1225
735	3402	1220
736	3405	1215
737	3425	1215
738	3436	1213
739	3441	1209
740	3521	1230
741	3525	1226
742	3529	1220
743	3534	1216
744	3537	1210
745	3540	1205
746	3543	1200
747	3547	1195
748	3551	1190
749	3554	1184
750	3557	1179
751	3560	1174
752	3565	1169
753	3568	1164
754	3573	1159
755	3578	1154
756	3583	1150
757	3587	1145
758	3591	1140
759	3603	1137
760	3619	1136
761	3632	1134
762	3639	1130
763	3648	1127
764	3652	1122
765	3656	1117
766	3664	1113
767	3670	1108
768	3679	1105
769	3684	1100
770	3687	1095
771	3692	1090
772	3697	1085
773	3700	1080
774	3703	1075
775	3707	1070
776	3712	1065
777	3716	1060
778	3720	1055
779	3725	1050
780	3729	1045
781	3732	1040
782	3735	1035
783	3738	1029
784	3742	1024
785	3745	1019
786	3748	1014
787	3751	1009
788	3754	1003
789	3757	998
790	3760	993
791	3764	988
792	3767	983
793	3771	978
794	3774	973
795	3777	968
796	3782	963
797	3785	958
798	3788	952
799	3791	947
800	3797	943
801	3801	938
802	3805	933
803	3808	928
804	3812	923
805	3815	918
806	3818	913
807	3820	907
808	3823	902
809	3828	898
810	3831	892
811	3834	887
812	3837	882
813	3840	877
814	3872	879
815	3884	875
816	3892	871
817	3901	868
818	3911	864
819	3915	859
820	3923	855
821	3927	850
822	3930	845
823	3933	840
824	3938	835
825	3941	830
826	3944	825
827	3947	819
828	3952	815
829	3955	810
830	3958	805
831	3962	800
832	3965	794
833	3969	790
834	3972	785
835	3977	780
836	3980	775
837	3985	770
838	3988	765
839	3991	760
840	3994	755
841	3997	750
842	4003	745
843	4006	740
844	4009	735
845	4012	730
846	4023	726
847	4029	722
848	4039	718
849	4045	713
850	4075	713
851	4081	708
852	4085	704
853	4089	699
854	4093	694
855	4099	689
856	4104	684
857	4111	680
858	4116	675
859	4120	670
860	4123	665
861	4130	661
862	4134	656
863	4137	651
864	4141	646
865	4146	641
866	4149	636
867	4153	631
868	4156	626
869	4162	621
870	4165	616
871	4169	611
872	4172	606
873	4177	602
874	4181	597
875	4186	592
876	4192	587
877	4196	583
878	4200	578
879	4203	573
880	4225	570
881	4231	566
882	4250	563
883	4255	558
884	4260	553
885	4264	548
886	4267	543
887	4271	538
888	4275	533
889	4279	528
890	4284	524
891	4289	519
892	4293	514
893	4296	509
894	4300	504
895	4304	499
896	4309	494
897	4312	489
898	4315	484
899	4321	480
900	4325	475
901	4328	470
902	4332	465
903	4337	460
904	4341	455
905	4344	450
906	4348	445
907	4354	441
908	4358	436
909	4362	431
910	4367	426
911	4372	421
912	4376	417
913	4379	412
914	4384	407
915	4388	402
916	4394	397
917	4398	392
918	4404	388
919	4407	383
920	4411	378
921	4417	373
922	4421	368
923	4424	363
924	4427	359
925	4456	356
926	4461	351
927	4467	346
928	4471	341
929	4475	336
930	4479	331
931	4483	327
932	4487	322
933	4492	317
934	4497	312
935	4501	307
936	4505	302
937	4508	297
938	4514	293
939	4517	288
940	4521	283
941	4524	278
942	4532	273
943	4535	269
944	4538	264
945	4542	259
946	4551	254
947	4555	249
948	4559	245
949	4571	240
950	4575	235
951	4580	230
952	4584	226
953	4589	221
954	4594	216
955	4598	211
956	4601	206
957	4604	201
958	4633	198
959	4644	193
960	4649	188
961	4655	183
962	4661	179
963	4664	174
964	4668	169
965	4671	164
966	4676	159
967	4679	154
968	4683	149
969	4686	144
970	4693	140
971	4701	135
972	4710	130
973	4714	125
974	4718	120
975	4723	116
976	4727	111
977	4731	106
978	4734	101
979	4740	96
980	4744	91
981	4747	87
982	4751	82
983	4756	77
984	4760	72
985	4764	67
986	4769	62
987	4772	57
988	4776	53
989	4779	48
990	4783	43
991	4788	38
992	4791	33
993	4799	28
994	4825	24
995	4828	19
996	4831	14
997	4837	9
998	4841	4
999	4844	0
